Hash(vPC),Name
0x4EDE34FBADD967A6,WAIT
0xE81651AD79516E48,START_NEW_SCRIPT
0xB8BA7F44DF1575E1,START_NEW_SCRIPT_WITH_ARGS
0xEB1C67C3A5333A92,START_NEW_SCRIPT_WITH_NAME_HASH
0xC4BB298BD441BE78,START_NEW_SCRIPT_WITH_NAME_HASH_AND_ARGS
0x83666F9FB8FEBD4B,TIMERA
0xC9D9444186B5A374,TIMERB
0xC1B1E9A034A63A62,SETTIMERA
0x5AE11BC36633DE4E,SETTIMERB
0x0000000050597EE2,TIMESTEP
0x0BADBFA3B172435F,SIN
0xD0FFB162F40A139C,COS
0x71D93B57D07F9804,SQRT
0xE3621CC40F31FE2E,POW
0xE816E655DE37FE20,_LOG10
0x652D2EEEF1D3E62C,VMAG
0xA8CEACB4F35AE058,VMAG2
0x2A488C176D52CCA5,VDIST
0xB7A628320EFF8E47,VDIST2
0xEDD95A39E5544DE8,SHIFT_LEFT
0x97EF1E5BCE9DC075,SHIFT_RIGHT
0xF34EE736CF047844,FLOOR
0x11E019C8F43ACC8A,CEIL
0xF2DB717A73826179,ROUND
0xBBDA792448DB5A89,TO_FLOAT
0x42B65DEEF2EDF2A1,SET_THREAD_PRIORITY
0x846AA8E7D55EE5B6,APP_DATA_VALID
0xD3A58A12C77D9D4B,APP_GET_INT
0x1514FB24C02C2322,APP_GET_FLOAT
0x749B023950D2311C,APP_GET_STRING
0x607E8E3D3E4F9611,APP_SET_INT
0x25D7687C68E0DAA4,APP_SET_FLOAT
0x3FF2FCEC4B7721B4,APP_SET_STRING
0xCFD0406ADAF90D2B,APP_SET_APP
0x262AB456A3D21F93,APP_SET_BLOCK
0x5FE1DF3342DB7DBA,APP_CLEAR_BLOCK
0xE41C65E07A5F05FC,APP_CLOSE_APP
0xE8E3FCF72EAC0EF8,APP_CLOSE_BLOCK
0x71EEE69745088DA0,APP_HAS_LINKED_SOCIAL_CLUB_ACCOUNT
0xCA52279A7271517F,APP_HAS_SYNCED_DATA
0x95C5D356CDA6E85F,APP_SAVE_DATA
0xC9853A2BE3DED1A6,APP_GET_DELETED_FILE_STATUS
0x44151AEA95C8A003,APP_DELETE_APP_DATA
0xF9E56683CA8E11A5,PLAY_PED_RINGTONE
0x1E8E5E20937E3137,IS_PED_RINGTONE_PLAYING
0x6C5AE23EFA885092,STOP_PED_RINGTONE
0x7497D2CE2C30D24C,IS_MOBILE_PHONE_CALL_ONGOING
0xD2C91A0B572AAE56,CREATE_NEW_SCRIPTED_CONVERSATION
0xC5EF963405593646,ADD_LINE_TO_CONVERSATION
0x95D9F4BC443956E7,ADD_PED_TO_CONVERSATION
0xB6AE90EDDE95C762,SET_MICROPHONE_POSITION
0x252E5F915EABB675,START_SCRIPT_PHONE_CONVERSATION
0x6004BCB0E226AAEA,PRELOAD_SCRIPT_PHONE_CONVERSATION
0x6B17C62C9635D2DC,START_SCRIPT_CONVERSATION
0x3B3CAD6166916D87,PRELOAD_SCRIPT_CONVERSATION
0x23641AFE870AF385,START_PRELOADED_CONVERSATION
0xE73364DB90778FFA,GET_IS_PRELOADED_CONVERSATION_READY
0x16754C556D2EDE3D,IS_SCRIPTED_CONVERSATION_ONGOING
0xDF0D54BE7A776737,IS_SCRIPTED_CONVERSATION_LOADED
0x480357EE890C295A,GET_CURRENT_SCRIPTED_CONVERSATION_LINE
0x8530AD776CD72B12,PAUSE_SCRIPTED_CONVERSATION
0x9AEB285D1818C9AC,RESTART_SCRIPTED_CONVERSATION
0xD79DEEFB53455EBA,STOP_SCRIPTED_CONVERSATION
0x9663FE6B7A61EB00,SKIP_TO_NEXT_SCRIPTED_CONVERSATION_LINE
0xA018A12E5C5C2FA6,INTERRUPT_CONVERSATION
0x8A694D7A68F8DC38,INTERRUPT_CONVERSATION_AND_PAUSE
0xC6ED9D5092438D91,REGISTER_SCRIPT_WITH_AUDIO
0xA8638BE228D4751A,UNREGISTER_SCRIPT_WITH_AUDIO
0x7345BDD95E62E0F2,REQUEST_MISSION_AUDIO_BANK
0xFE02FFBED8CA9D99,REQUEST_AMBIENT_AUDIO_BANK
0x2F844A8B08D76685,REQUEST_SCRIPT_AUDIO_BANK
0x8F8C0E370AE62F5C,HINT_AMBIENT_AUDIO_BANK
0xFB380A29641EC31A,HINT_SCRIPT_AUDIO_BANK
0x0EC92A1BF0857187,RELEASE_MISSION_AUDIO_BANK
0x65475A218FFAA93D,RELEASE_AMBIENT_AUDIO_BANK
0x77ED170667F50170,RELEASE_NAMED_SCRIPT_AUDIO_BANK
0x7A2D8AD0A9EB9C3F,RELEASE_SCRIPT_AUDIO_BANK
0x430386FE9BF80B45,GET_SOUND_ID
0x353FC880830B88FA,RELEASE_SOUND_ID
0x7FF4944CC209192D,PLAY_SOUND
0x67C540AA08E4A6F5,PLAY_SOUND_FRONTEND
0xCADA5A0D0702381E,PLAY_DEFERRED_SOUND_FRONTEND
0xE65F427EB70AB1ED,PLAY_SOUND_FROM_ENTITY
0x8D8686B622B88120,PLAY_SOUND_FROM_COORD
0xA3B0C41BA5CC0BB5,STOP_SOUND
0x2DE3F0A134FFBC0D,GET_NETWORK_ID_FROM_SOUND_ID
0x75262FD12D0A1C84,GET_SOUND_ID_FROM_NETWORK_ID
0xAD6B3148A78AE9B6,SET_VARIABLE_ON_SOUND
0x2F9D3834AEB9EF79,SET_VARIABLE_ON_STREAM
0xF2A9CDABCEA04BD6,OVERRIDE_UNDERWATER_STREAM
0x733ADF241531E5C2,SET_VARIABLE_ON_UNDER_WATER_STREAM
0xFCBDCE714A7C88E5,HAS_SOUND_FINISHED
0x8E04FEDD28D42462,PLAY_PED_AMBIENT_SPEECH_NATIVE
0xC6941B4A3A8FBBB9,PLAY_PED_AMBIENT_SPEECH_AND_CLONE_NATIVE
0x3523634255FC3318,PLAY_PED_AMBIENT_SPEECH_WITH_VOICE_NATIVE
0xED640017ED337E45,PLAY_AMBIENT_SPEECH_FROM_POSITION_NATIVE
0x13AD665062541A7E,OVERRIDE_TREVOR_RAGE
0xE78503B10C4314E0,RESET_TREVOR_RAGE
0xEA241BB04110F091,SET_PLAYER_ANGRY
0xBC9AE166038A5CEC,PLAY_PAIN
0xCE4AC0439F607045,RELEASE_WEAPON_AUDIO
0xD01005D2BA2EB778,ACTIVATE_AUDIO_SLOWMO_MODE
0xDDC635D5B3262C56,DEACTIVATE_AUDIO_SLOWMO_MODE
0x6C8065A3B780185B,SET_AMBIENT_VOICE_NAME
0x9A53DED9921DE990,_SET_AMBIENT_VOICE_NAME_HASH
0x5E203DA2BA15D436,_GET_AMBIENT_VOICE_NAME_HASH
0x40CF0D12D142A9E8,_SET_PED_SCREAM
0x7CDC8C3B89F661B3,_SET_PED_VOICE_GROUP
0xA5342D390CDA41D6,_SET_PED_AUDIO_GENDER
0x7A73D05A607734C7,STOP_CURRENT_PLAYING_SPEECH
0xB8BEC0CA6F0EDB0F,STOP_CURRENT_PLAYING_AMBIENT_SPEECH
0x9072C8B49907BFAD,IS_AMBIENT_SPEECH_PLAYING
0xCC9AA18DCC7084F4,IS_SCRIPTED_SPEECH_PLAYING
0x729072355FA39EC9,IS_ANY_SPEECH_PLAYING
0x49B99BF3FDA89A7A,DOES_CONTEXT_EXIST_FOR_THIS_PED
0x049E937F18F4020C,IS_PED_IN_CURRENT_CONVERSATION
0x95D2D383D5396B8A,SET_PED_IS_DRUNK
0xEE066C7006C49C0A,PLAY_ANIMAL_VOCALIZATION
0xC265DF9FB44A9FBD,IS_ANIMAL_VOCALIZATION_PLAYING
0xCC97B29285B1DC3B,SET_ANIMAL_MOOD
0xB35CE999E8EF317E,IS_MOBILE_PHONE_RADIO_ACTIVE
0xBF286C554784F3DF,SET_MOBILE_PHONE_RADIO_STATE
